2026-03-03 18:30:56,189 INFO    Thread-138 (_run_job):75646 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-03 18:30:56,190 INFO    Thread-138 (_run_job):75646 [wandb_setup.py:_flush():81] Configure stats pid to 75646
2026-03-03 18:30:56,190 INFO    Thread-138 (_run_job):75646 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-03 18:30:56,190 INFO    Thread-138 (_run_job):75646 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/ashishmeshram/Documents/IITM - ACADEMICS/SEM2/COURSES/DL/ASSIGNMENT1/da6401_assignment_1/wandb/run-20260303_183056-5askcykd/logs/debug.log
2026-03-03 18:30:56,190 INFO    Thread-138 (_run_job):75646 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/ashishmeshram/Documents/IITM - ACADEMICS/SEM2/COURSES/DL/ASSIGNMENT1/da6401_assignment_1/wandb/run-20260303_183056-5askcykd/logs/debug-internal.log
2026-03-03 18:30:56,190 INFO    Thread-138 (_run_job):75646 [wandb_init.py:init():844] calling init triggers
2026-03-03 18:30:56,190 INFO    Thread-138 (_run_job):75646 [wandb_init.py:init():849] wandb.init called with sweep_config: {'activation': 'relu', 'batch_size': 32, 'dataset': 'mnist', 'epochs': 20, 'hidden_size': 128, 'learning_rate': 0.007839861377677393, 'loss': 'mean_squared_error', 'num_layers': 3, 'optimizer': 'rmsprop', 'weight_decay': 1e-05, 'weight_init': 'xavier'}
config: {'_wandb': {}}
2026-03-03 18:30:56,190 INFO    Thread-138 (_run_job):75646 [wandb_init.py:init():892] starting backend
2026-03-03 18:30:56,420 INFO    Thread-138 (_run_job):75646 [wandb_init.py:init():895] sending inform_init request
2026-03-03 18:30:56,423 INFO    Thread-138 (_run_job):75646 [wandb_init.py:init():903] backend started and connected
2026-03-03 18:30:56,424 INFO    Thread-138 (_run_job):75646 [wandb_run.py:_config_callback():1403] config_cb None None {'activation': 'relu', 'batch_size': 32, 'dataset': 'mnist', 'epochs': 20, 'hidden_size': 128, 'learning_rate': 0.007839861377677393, 'loss': 'mean_squared_error', 'num_layers': 3, 'optimizer': 'rmsprop', 'weight_decay': 1e-05, 'weight_init': 'xavier'}
2026-03-03 18:30:56,431 INFO    Thread-138 (_run_job):75646 [wandb_init.py:init():973] updated telemetry
2026-03-03 18:30:56,432 INFO    Thread-138 (_run_job):75646 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-03 18:30:57,277 INFO    Thread-138 (_run_job):75646 [wandb_init.py:init():1042] starting run threads in backend
2026-03-03 18:30:57,381 INFO    Thread-138 (_run_job):75646 [wandb_run.py:_console_start():2524] atexit reg
2026-03-03 18:30:57,381 INFO    Thread-138 (_run_job):75646 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-03 18:30:57,382 INFO    Thread-138 (_run_job):75646 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-03 18:30:57,382 INFO    Thread-138 (_run_job):75646 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-03 18:30:57,382 INFO    Thread-138 (_run_job):75646 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-03 18:31:26,760 INFO    Thread-138 (_run_job):75646 [wandb_run.py:_finish():2291] finishing run ashishmeshram229-indian-institute-of-technology-madras/da6401_assignment_1/5askcykd
2026-03-03 18:31:26,760 INFO    Thread-138 (_run_job):75646 [wandb_run.py:_atexit_cleanup():2490] got exitcode: 0
2026-03-03 18:31:26,760 INFO    Thread-138 (_run_job):75646 [wandb_run.py:_restore():2472] restore
2026-03-03 18:31:26,760 INFO    Thread-138 (_run_job):75646 [wandb_run.py:_restore():2478] restore done
2026-03-03 18:31:28,802 INFO    Thread-138 (_run_job):75646 [wandb_run.py:_footer_sync_info():3868] logging synced files
